,Cities,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
505,bojnurd,33.8,86,40,0.92,37.259305155238266
506,tigil,3.6,76,0,1.92,57.30509522962191
507,sitborice,23.4,86,0,5.82,48.96428282387825
508,manacapuru,89.6,52,20,3.36,-2.8704455318066806
509,rosamorada,70.48,63,92,0.63,22.42878969415628
510,ust-nera,-30.57,100,100,2.8,64.39818818815593
511,aljezur,51.31,91,0,5.01,36.35704408315955
512,rocha,67.51,43,100,6.96,-52.45053435390869
513,ulcinj,32.77,37,0,1.12,41.793943054500915
514,lena,35.53,64,40,6.93,42.886116104732
515,grindavik,33.8,80,40,11.41,53.59504450581571
516,zverinogolovskoye,13.8,96,92,1.86,54.50218877710998
517,lensk,17.24,92,100,15.73,61.10169264323818
518,huaura,68.49,82,18,5.75,-10.99783306597135
519,yongan,8.96,89,100,2.39,26.05767847158468
520,wawa,77.68,38,43,8.3,47.777749408412205
521,balsas,74.73,92,60,4.72,-8.40663851405263
522,uige,69.66,94,100,1.74,-6.457650906893434
523,finschhafen,84.54,76,86,13.35,-7.6058796688182895
524,joura,59.92,59,99,6.15,26.432336868519386
525,sitges,43.9,87,20,10.29,40.86398901874654
526,talara,62.6,100,0,11.41,-5.113461779135079
527,stalowa wola,31.71,68,75,6.93,50.68918389138
528,le port,35.67,90,33,3.04,-19.20993223671391
529,zhigalovo,10.83,96,92,3.06,55.006613261718144
530,sao gabriel da cachoeira,79.0,73,65,0.76,-0.6290335270791587
531,balasheyka,23.47,96,100,5.95,53.507159369453944
532,basavakalyan,66.83,84,61,5.35,17.747204847854903
533,nahan,49.96,91,100,1.28,30.68068805950962
